Candidate,Votes,Percentage
CesareCavaliere,114,7.50%
Nooflyw,88,5.79%
WooleyMcNoble,82,5.40%
ISpilledMyTacos,80,5.27%
6dcry,78,5.14%
Primavalkos,78,5.14%
Nukhz,76,5.00%
Railbuilder33,76,5.00%
D_eadend38,73,4.81%
guohuhu81900,71,4.67%
orangebaer22,68,4.48%
TheBloxxyWay,63,4.15%
codycreating,58,3.82%
Potato_soup,49,3.23%
RebelPilot09,41,2.70%
ThatUniversal,36,2.37%
SnakeLord_13,32,2.11%
DiedrichWolfstone,31,2.04%
Mooniar,26,1.71%
Aqvivr,23,1.51%
Oxznym,21,1.38%
RobertRosenthal,17,1.12%
hvh,17,1.12%
Rogan21,16,1.05%
S0URCEY,16,1.05%
CantBr_eathalyseNopy,12,0.79%
wiwi2010mat,10,0.66%
Mehtabwali1,10,0.66%
Loveanaboy,9,0.59%
Hildeluhs,7,0.46%
Garbienjace,7,0.46%
JimmyMastronardi,6,0.39%
Gamerboy2526239,6,0.39%
RiflemanMr,5,0.33%
AthenaAthame,3,0.20%
Chrxs_dev,3,0.20%
FlagMan023,3,0.20%
CarosJSmith,3,0.20%
Alestalagie,2,0.13%
Sh00kuun,2,0.13%
Eirhwyn,1,0.07%
